listing_id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1252740,8/9/2013,12/22/2015,97,10,9,10,10,10,10,2.25
4250938,3/11/2015,8/7/2015,90,10,9,10,10,9,8,0.2
3791920,8/27/2014,12/17/2015,97,10,10,10,10,10,10,4.23
4258762,10/28/2014,9/3/2015,92,10,9,10,10,10,9,1.73
7364146,9/8/2015,11/29/2015,97,10,10,10,10,9,10,1.51
6765045,7/19/2015,11/29/2015,88,8,8,9,9,9,8,0.88
3193738,10/5/2014,12/1/2014,90,9,8,7,9,10,10,0.13
8765219,11/5/2015,12/1/2015,100,10,10,10,10,10,10,0.98
8174285,10/24/2015,10/24/2015,80,8,8,10,10,10,8,0.41
3403638,8/3/2014,9/30/2015,84,7,8,9,9,9,8,0.35
7601333,8/17/2015,9/27/2015,92,10,9,10,10,10,9,1.06
6707735,6/9/2015,12/30/2015,97,10,10,10,10,10,9,6.57
7322718,7/30/2015,7/30/2015,80,10,10,10,10,10,10,0.19
3783162,8/13/2014,8/25/2015,97,10,10,10,10,10,10,2.41
6606,7/17/2009,12/28/2015,93,9,9,10,9,10,9,0.66
3889280,,,,,,,,,,
3971137,11/22/2014,12/31/2014,88,10,10,10,10,10,9,0.37
3889050,9/1/2014,9/11/2015,80,7,6,9,10,9,8,0.18
799882,12/2/2012,12/5/2015,96,9,9,10,10,10,10,0.85
9508386,12/30/2015,12/30/2015,100,10,10,10,10,10,10,1
6714817,6/27/2015,7/11/2015,90,9,10,10,10,8,9,0.31
3773700,8/16/2014,9/8/2015,93,10,9,10,10,10,9,0.36
3773568,9/8/2014,9/8/2015,91,9,9,10,10,10,9,0.68
9313974,,,,,,,,,,
6492880,6/1/2015,9/17/2015,90,10,10,9,9,10,10,1.79
4879013,12/26/2014,12/16/2015,99,10,10,10,10,10,10,2.88
3732094,8/15/2014,9/29/2015,88,8,7,9,9,9,9,0.3
873073,3/31/2015,4/20/2015,95,10,10,10,10,10,10,0.43
234898,11/28/2011,12/20/2015,96,10,10,10,10,10,10,1.38
8533375,10/19/2015,11/29/2015,100,10,10,10,10,10,10,1.15
6854019,,,,,,,,,,
8418650,10/18/2015,12/29/2015,98,10,10,10,10,10,10,4.56
3732076,8/9/2014,5/4/2015,94,9,8,10,9,9,10,0.41
4608592,1/3/2015,11/9/2015,98,10,10,10,10,10,10,2.45
4862719,1/6/2015,11/29/2015,94,10,10,10,10,10,10,5.27
668169,9/3/2012,8/25/2015,93,9,9,10,10,10,10,0.39
429453,4/23/2012,11/22/2015,100,10,10,10,10,10,10,0.31
10124808,,,,,,,,,,
7459684,8/30/2015,12/23/2015,93,10,10,10,10,9,9,3.98
5992645,8/26/2015,8/26/2015,80,10,8,10,10,10,8,0.23
7917718,8/21/2015,1/1/2016,99,10,10,10,10,10,10,3.72
2986056,11/1/2014,11/1/2015,95,10,9,10,10,8,10,0.28
2011193,8/20/2014,8/21/2015,93,10,9,10,10,10,9,0.24
3768626,8/10/2014,11/29/2015,96,10,10,10,10,10,9,2.57
2026794,1/18/2014,12/12/2015,91,9,9,10,10,10,9,4.18
9154294,11/15/2015,12/6/2015,100,10,10,10,10,9,10,1.76
430610,8/14/2012,10/24/2015,97,10,10,10,10,10,9,1.69
3231850,6/26/2014,12/27/2015,97,10,10,10,10,10,10,4.52
2976798,1/18/2015,12/15/2015,99,10,10,10,10,10,10,3.07
703058,9/25/2012,12/30/2015,99,10,10,10,10,10,10,2.16
7826541,8/30/2015,8/30/2015,100,10,10,10,10,10,10,0.23
240920,8/1/2012,8/1/2015,97,10,9,10,10,10,10,0.36
6655233,6/9/2015,9/22/2015,89,9,9,10,9,9,9,2.57
